MDA-MB-231 cells - No treatment [Sample 1]	MDA-MB-231 cells - only 5-ALA [Sample 2]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 3]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 4]	MDA-MB-231 cells - No treatment [Sample 5]	MDA-MB-231 cells - only 5-ALA [Sample 6]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 7]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 8]	MDA-MB-231 cells - No treatment [Sample 9]	MDA-MB-231 cells - only 5-ALA [Sample 10]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 11]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 12]	
7898115	147.098	138.8705	169.5053	150.661	151.8571	149.0368	196.8846	144.5168	167.3435	154.7001	182.1801	163.8881
7898124	88.4927	93.5075	85.84	82.086	96.3067	95.0363	92.3954	100.2231	84.0653	89.6095	92.064	84.4367
7898161	580.5557	549.207	670.8876	666.1704	645.0993	638.4029	670.2801	612.9341	767.3101	726.4886	662.4104	662.9849
7898167	78.8371	99.2486	89.7241	74.143	86.0933	84.3736	92.1576	90.7975	92.3675	91.9767	95.3276	90.7886
7898176	82.2907	78.2983	72.2357	73.913	75.6937	76.9117	74.3853	79.1787	78.4677	72.8254	80.9566	83.0644
7898184	73.8921	75.8264	79.7592	74.0444	67.923	74.9411	84.7273	70.7176	83.6852	70.4668	87.5679	91.61
7898192	552.378	494.7554	233.2718	496.1	524.2123	617.7617	232.0757	435.3357	454.1816	557.734	226.8504	440.0118
7898209	204.0193	175.6368	220.161	194.4696	181.8589	186.416	213.8575	206.5199	188.5678	188.1988	158.8948	195.4733
7898211	353.0155	346.5835	475.5543	425.8099	365.922	383.2951	546.1598	401.9681	395.0778	368.1557	543.5034	440.1267
7898227	1082.1136	1008.8441	1185.5077	1107.0419	1149.4788	1169.78	1302.5717	1090.8052	982.3173	1033.7786	1253.5659	1125.3102
7898249	199.9991	177.2617	179.609	181.7353	179.0026	193.3154	183.1551	200.3226	184.0549	170.8606	193.4664	193.2598
7898256	157.4772	169.8461	148.1781	142.8216	157.8095	170.3994	139.6726	166.7186	174.4111	141.4083	158.7863	159.0607
7898263	271.4613	267.9729	227.9379	266.6234	267.3204	261.3274	259.6969	248.6523	269.5294	258.8714	240.0389	271.9475
7898276	2589.169	2456.4824	2877.495	2609.55	2575.5159	2510.8208	2688.0422	2748.2712	2666.6377	2687.772	2769.4575	2756.795
7898278	884.071	931.2907	861.8033	902.6296	988.0236	1074.1307	940.8197	912.1759	886.023	1096.3784	1004.4056	948.3704
7898294	24.7162	25.5688	24.5183	24.9228	24.069	24.911	24.4631	24.7586	24.5772	24.4251	24.5069	25.015
7898296	98.3368	95.1628	90.5559	81.0134	99.5156	95.9571	80.8801	103.0013	101.1274	90.2138	100.5442	96.2711
7898300	145.1877	162.2179	130.9203	132.218	130.8781	150.579	154.9923	169.8449	162.1789	130.9342	167.1494	161.4171
7898314	157.2618	147.0136	112.6556	119.8628	146.2673	154.1327	138.4	157.5625	162.345	141.147	138.845	165.0302
7898328	1474.9729	1551.7922	1431.724	1619.2173	1692.2908	1756.6396	1325.068	1635.4843	1572.219	1653.2113	1265.0276	1532.2759
7898337	758.4858	767.955	913.5775	816.1205	740.356	698.0251	905.3297	727.2362	765.6462	761.4735	863.8465	779.7768
7898350	97.0365	100.3202	103.849	112.1331	102.8998	96.3349	106.6347	107.1197	106.8806	102.3094	126.4317	118.0402
7898353	114.0758	114.4205	127.0965	123.7616	98.5256	105.2894	99.6826	137.1315	134.1783	99.736	122.2413	178.5988
7898355	39.9097	46.0704	35.2173	37.4631	31.8845	35.0889	34.2816	32.4068	30.2186	36.2007	39.6621	38.6365
7898357	107.7085	103.7642	108.56	114.7134	105.7387	106.4512	107.7928	109.0478	102.7632	99.1198	116.0636	117.0118
7898371	143.0297	144.9574	146.066	156.7428	137.7653	145.1068	140.6669	158.2348	136.1835	147.8683	163.0908	162.0721
7898373	46.808	48.5224	42.0129	44.0646	47.9062	44.4616	38.4035	43.213	45.1923	41.2399	43.9728	47.6707
7898375	14185.504	13246.018	10901.889	14659.024	10667.633	10897.349	9825.514	10153.927	10761.4375	10487.845	9706.596	10212.264
7898377	153.1508	151.7472	149.2008	152.6527	154.5797	151.5114	140.7706	156.4125	158.9883	155.4075	155.4125	158.5252
7898405	34.7829	34.0825	35.7078	36.3149	35.9194	39.8321	35.1865	37.803	33.1017	33.9397	32.1559	39.996
7898407	49.2275	50.028	48.2633	50.2036	51.2771	49.6514	47.7697	48.3483	55.7748	50.1853	54.8886	56.3619
7898411	14200.404	13247.941	10901.889	14661.153	10666.795	10897.349	9823.102	10155.401	10760.365	10483.762	9705.487	10212.884
7898413	133.411	135.3922	173.2713	135.095	128.2826	148.2836	176.6486	107.197	131.595	137.606	199.9824	137.7131
7898431	144.7578	133.9928	172.9123	145.7013	133.9719	152.054	160.6619	131.0758	147.5764	126.4408	190.0978	160.4821
7898448	103.0562	92.5388	100.7064	114.0934	105.4043	94.6445	99.8899	105.1114	102.8394	98.1578	101.2258	106.9689
7898466	84.0914	86.7649	79.4733	85.6876	85.3378	93.7436	81.5222	94.9219	89.6921	74.0049	90.1775	82.7514
7898483	171.8042	171.9791	185.7826	183.644	178.2617	187.9815	195.8171	183.9011	193.6669	168.1158	191.197	212.2834
7898516	86.5722	107.4864	100.4912	89.8815	102.2829	90.2876	97.5875	95.6347	97.6206	82.938	94.962	91.9
7898521	127.335	128.2279	121.1953	122.8365	143.8742	126.0682	122.1606	136.1088	149.1297	129.5649	127.8067	152.3117
7898533	177.9596	184.5117	181.233	177.9596	182.1152	182.756	179.2262	193.4179	192.3603	160.4317	180.9081	196.0804
7898535	56.947	60.6779	61.145	64.6919	63.2072	53.8881	54.212	60.0632	57.3021	61.2752	60.2776	66.1721
7898537	132.8176	128.1581	128.595	141.5942	143.0262	113.6026	131.4462	135.109	126.6926	126.3157	129.5995	142.6173
7898549	340.3413	301.9844	355.5516	326.2783	337.1067	318.939	333.7372	237.7615	346.0031	434.0598	380.8546	345.7988
7898556	366.7221	373.3792	470.0982	388.4803	374.1289	404.9601	492.3401	387.5807	357.7415	389.7085	548.4694	411.3777
7898568	50.3347	46.3767	51.014	52.2639	50.5882	47.4938	49.0336	50.7307	48.9702	40.255	49.5049	52.5813
7898570	1164.7709	1213.4083	1228.6832	1131.3063	1110.7386	1113.4362	985.1782	1210.3813	1178.838	1162.8846	1062.7125	1189.0841
7898572	25.2383	25.781	24.6822	25.3803	26.2682	25.732	25.9548	26.9156	24.7788	25.57	26.1435	25.5031
7898574	801.1779	864.2412	865.6935	878.2439	643.4733	692.6006	801.4265	703.3459	830.5922	756.7484	757.2138	742.3607
7898582	183.8876	187.3257	204.7585	173.97	197.1974	170.3495	197.0655	180.3702	324.2428	401.7609	311.3291	301.0306
